,overall_acc,bal_acc,avg_odds_diff,disp_imp,stat_par_diff,eq_opp_diff,theil_ind,TPR,TNR,FPR,FNR,GTPR,GTNR,GFPR,GFNR,PPV,NPV,FDR,FOR,ACC,MCC,f1_score,fitness,solution,corr,fitness_rule,method,dataset,best_solution_tf_history
0,0.8512990602542841,0.7768507322000191,0.1131271092156276,0.302885582646266,0.192632805323564,0.1425320313596535,0.1178499504396101,0.6284953395472703,0.925206124852768,0.074793875147232,0.3715046604527297,1.0,1.0,0.0,0.0,0.735966735966736,0.8824603286055329,0.264033264033264,0.117539671394467,0.8512990602542841,0.5851700362102303,0.6779985635623654,0.3925372308866663,{'dropout': 0.16228954240968418},,mcc_parity,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.3897703690160027, 0.340683910786225, 0.32782109899549283, 0.3206559986268761, 0.31547221279802595, 0.311582791493688, 0.30873360593694443, 0.3059721473134074, 0.3033867776183364, 0.3011272242699799, 0.2989669002107666, 0.297859827336905, 0.2957603620396898], 'val_loss': [0.347326802690099, 0.3365757401771082, 0.3330107132264301, 0.3314059947557117, 0.32997545763034725, 0.3284765095128217, 0.32836395915599736, 0.3276494760220719, 0.3317920713216445, 0.3288059405953664, 0.3333130923834474, 0.3326954299850712, 0.33616942939111183]}"
1,0.8515201768933113,0.78171905570478,0.1115647988555919,0.3014976353126642,0.1989150766928544,0.132052285677875,0.1133202265348672,0.64485559566787,0.9185825157416898,0.0814174842583101,0.3551444043321299,1.0,1.0,0.0,0.0,0.7198992443324937,0.8885269121813031,0.2801007556675063,0.1114730878186968,0.8515201768933113,0.5855002003059528,0.6803142109021661,0.4739354014503608,{'dropout': 0.1482543145261793},,mcc_odds,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.4009664287344603, 0.34305514207044535, 0.3319500818486596, 0.3228836219758139, 0.31745426521323533, 0.3133333602201009, 0.30980754000588684, 0.30767047194258695, 0.3059758476782769, 0.3023482625793446, 0.30114899108478643, 0.29891825424396107], 'val_loss': [0.3313282988656615, 0.32350656349827667, 0.31824338357049237, 0.3172349953368067, 0.3116761455060106, 0.31263096540787394, 0.30885487084826296, 0.3093105902851056, 0.3110342807964833, 0.3131504822512105, 0.31350847124855713, 0.31007450285242566]}"
2,0.8514096185737977,0.7808781308781308,0.103235423329999,0.3195058618762249,0.1916063283737896,0.1248892284186401,0.1139803203036624,0.6423423423423423,0.9194139194139194,0.0805860805860805,0.3576576576576576,1.0,1.0,0.0,0.0,0.72165991902834,0.8876785966897722,0.2783400809716599,0.1123214033102277,0.8514096185737977,0.5850638655171895,0.6796949475691134,0.4601746370985493,{'dropout': 0.17861515209545933},,mcc_opportunity,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.40314989690662156, 0.34525597073613046, 0.33084680364778446, 0.32457666873488866, 0.31898168875466015, 0.31475181813494, 0.3105374535018189, 0.30822572691168765, 0.304830325111047, 0.3033021882740702, 0.30037236617162805, 0.2999715599071782, 0.2967217205296373, 0.2957282078244542, 0.2933117278574023], 'val_loss': [0.3654708619800439, 0.35062576702709947, 0.3468215051047904, 0.34469578550657953, 0.3406825865283732, 0.3432462478685669, 0.341410422585431, 0.3389779142808888, 0.3401332231863485, 0.3381373503545558, 0.33895626640273696, 0.34012548092519995, 0.33871514913190987, 0.3398019680006851, 0.3395304555158842]}"
3,0.8448866777224986,0.7632393098707855,0.0823864229164976,0.3083880211089773,0.1830904516578401,0.08417395748409,0.1263221229516004,0.5993829881004848,0.9270956316410862,0.0729043683589138,0.4006170118995152,1.0,1.0,0.0,0.0,0.7335490830636462,0.8735919899874843,0.2664509169363538,0.1264080100125156,0.8448866777224986,0.5653731459207941,0.6597138006306088,0.6617962260646585,{'dropout': 0.15655371267306142},,acc_parity,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.3903123053694252, 0.33910286278168733, 0.3260166863407278, 0.31920416874346463, 0.31406792539182943, 0.3098437414413083, 0.3081263487116191, 0.3041061718546497, 0.30172154090248465, 0.30009990133851533, 0.2982584874140052, 0.2964898494005811, 0.29492215821222295, 0.29293241032826495, 0.2915230192869454], 'val_loss': [0.3416254369180594, 0.33037164606331065, 0.323765320498486, 0.3191782050431928, 0.31778236640428825, 0.31626211712214086, 0.31570935354765245, 0.3159132193240624, 0.31378182058771914, 0.3134986968446397, 0.314256283782542, 0.3152569502081378, 0.31516490608140735, 0.3151325495319514, 0.31831082077300504]}"
4,0.85085682697623,0.7756011006954171,0.084686556376393,0.3329825716853643,0.1803664009494671,0.0938909821734408,0.1157601553276342,0.6295620437956204,0.9216401575952138,0.0783598424047862,0.3704379562043796,1.0,1.0,0.0,0.0,0.7198748043818466,0.8860830527497194,0.2801251956181533,0.1139169472502805,0.85085682697623,0.5779319205589806,0.6716962764662935,0.766170270599837,{'dropout': 0.1698638434734938},,acc_odds,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.39678069996564325, 0.3418175098418882, 0.32989912302793034, 0.32191357061780856, 0.3169519854236679, 0.31330756195217463, 0.31047837599998, 0.3068963928538483, 0.30467603251412606, 0.3030729006097513, 0.3016776976844171, 0.30021064598315245, 0.29778875987536857, 0.29674268304054985, 0.2944954091588579, 0.2937132681304712, 0.29184295282510636], 'val_loss': [0.353129695666436, 0.34269669821672244, 0.3351372364824025, 0.33468889964424225, 0.329879748056843, 0.3309782102596964, 0.3302644230404765, 0.32938574934084813, 0.3301314682410922, 0.3315896389974027, 0.3294172463428915, 0.3275151352252401, 0.33042056562822786, 0.32897900782150746, 0.3299893056443543, 0.3312307897030549, 0.33459613587956455]}"
5,0.849861802100608,0.7694999770945097,0.0594834859215884,0.3443003230817616,0.1713293748624147,0.0505700069082099,0.1209764430204929,0.6110363391655451,0.927963615023474,0.0720363849765258,0.3889636608344549,1.0,1.0,0.0,0.0,0.7350242849433352,0.8794493882091212,0.2649757150566648,0.1205506117908787,0.849861802100608,0.5755008963325187,0.6673199412052916,0.7992917951923981,{'dropout': 0.09738419985595698},,acc_opportunity,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.3824641803607494, 0.3358359775297464, 0.32487440912045606, 0.3177511163643769, 0.31165799171418085, 0.3084809578720162, 0.3048596557482275, 0.30246054879462214, 0.3007298001160313, 0.2978404659170671, 0.29584188947931267, 0.2938157326741126, 0.292554243232479, 0.29040725800635836, 0.2891096474213859], 'val_loss': [0.34941413061206283, 0.34290865437637846, 0.3357715656277618, 0.3321434941457872, 0.32927333778969947, 0.32799154996147073, 0.33051836946974017, 0.3291127860315469, 0.3302548507453988, 0.32754650344632485, 0.33111922700738566, 0.3311679073464745, 0.3349345956242763, 0.3319713401820793, 0.3346325640456989]}"
6,0.8517412935323383,0.7738571346450069,0.0727160331104903,0.3078862546421605,0.1866477453439274,0.0672210875178234,0.120104254587713,0.6180371352785146,0.9296771340114992,0.0703228659885006,0.3819628647214854,1.0,1.0,0.0,0.0,0.7456,0.8794979079497908,0.2544,0.1205020920502092,0.8517412935323383,0.5851282285853555,0.6758520667150109,0.398480483241428,{'dropout': 0.020621358546558277},,mcc_parity,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.3755065117019551, 0.3319155043144074, 0.3223393336444175, 0.31646501900720714, 0.31224826555762614, 0.3088652557610784, 0.30572243853376035, 0.30288101950808916, 0.3005128527797738, 0.29976778848849533, 0.2972632867366413, 0.295288064883929, 0.29441863150315284], 'val_loss': [0.3349354893644585, 0.32808357599099214, 0.32816761726335375, 0.32524464035179157, 0.3251987266863427, 0.3203017840634531, 0.3214201680232702, 0.3200320678069619, 0.3206933076174764, 0.32196898339959784, 0.32324031840509443, 0.32132395373779876, 0.32260318603747584]}"
7,0.8515201768933113,0.7774345702382881,0.0568280527802576,0.3495719150871205,0.176580014475771,0.03808356257226,0.1143037537489342,0.6342804766269478,0.9205886638496285,0.0794113361503715,0.3657195233730522,1.0,1.0,0.0,0.0,0.7174701918092276,0.887858347386172,0.2825298081907724,0.112141652613828,0.8515201768933113,0.5795499342155884,0.6733154950133787,0.5227218814353307,{'dropout': 0.19591482891909365},,mcc_odds,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.3906265584155109, 0.34097646997273634, 0.3307852655692206, 0.32319018822043777, 0.31693546421394075, 0.31423775337721366, 0.31088365264345164, 0.30965569763373396, 0.30761871537176894, 0.30536584003287476, 0.3029330046407245, 0.3015464770566546, 0.3000850899247925, 0.2990126990342727, 0.2967320507858363, 0.2956171392563348, 0.2945822622375189, 0.2923898616116713, 0.29140578101658077, 0.28927470788095566], 'val_loss': [0.3385509648512186, 0.32900931238469133, 0.3236143437948854, 0.323449713476064, 0.322156403244629, 0.3219980512981984, 0.3214607566446807, 0.32287997088094916, 0.32083320224759593, 0.3204144934318947, 0.32193072211880785, 0.3197108039116583, 0.3209524426327152, 0.3217951365272402, 0.3197246899652244, 0.3189173740632894, 0.3175741003207438, 0.3200628680952878, 0.32141143638762143, 0.31964720926474577]}"
8,0.8577114427860697,0.779633063687723,0.0888335533459496,0.2946639153393424,0.1877094711363868,0.1068870790511279,0.1157810912993973,0.6253357206803939,0.933930406695052,0.0660695933049478,0.3746642793196061,1.0,1.0,0.0,0.0,0.7563616675690309,0.8837176993609336,0.2436383324309691,0.1162823006390664,0.8577114427860697,0.5983098768663679,0.6846361185983828,0.49142279781524,{'dropout': 0.06745214337987336},,mcc_opportunity,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.3861397368861283, 0.3369560999100542, 0.3258455267899774, 0.31992056069625546, 0.31593368859405163, 0.3126636467014324, 0.30944566508295307, 0.30612949746119095, 0.304393898445707, 0.3027628000402645, 0.2997029915100973, 0.29888923880256413, 0.296173167633642, 0.29528416829915566, 0.29400101121536887], 'val_loss': [0.3327112148782046, 0.32421699673711696, 0.3181009093096666, 0.31604432222789136, 0.3143354889567614, 0.3116344489103658, 0.3128002805067993, 0.3143908108315328, 0.3113818694340583, 0.3112118116823463, 0.3128161071544856, 0.31540897196995876, 0.3141414002943197, 0.31350813017753426, 0.3169273275937607]}"
9,0.8548369264787176,0.7924786816475144,0.0829596952187849,0.3265096484597707,0.1972159758522649,0.0738695223091965,0.1079308312009391,0.6693548387096774,0.9156025245853516,0.0843974754146484,0.3306451612903225,1.0,1.0,0.0,0.0,0.7220879652005799,0.8942087155963303,0.27791203479942,0.1057912844036697,0.8548369264787176,0.6004225856898112,0.6947221576377586,0.6576209506264526,{'dropout': 0.050465812289299083},,acc_parity,simple_mlp_initializer,adult_dataset_reader,"{'loss': [0.3853335164746172, 0.3340830477855324, 0.32342727425339407, 0.31646112024851825, 0.3106763585914525, 0.30759713524733595, 0.3051489723269142, 0.3022646755533864, 0.29951339114422243, 0.2973074972219478, 0.29519977394321295, 0.2938735028014597, 0.29158875983941945, 0.29077892380958875], 'val_loss': [0.3627781799776637, 0.3505775086322234, 0.34563711893499194, 0.3445089495663092, 0.3416779401916506, 0.34650499060247536, 0.3431199815571143, 0.3482928840230353, 0.34070655313099596, 0.3428639862470168, 0.3436485130098922, 0.34612284258889386, 0.3450564518529714, 0.3483579918256183]}"
